Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Kepulauan Selayar,1877,43.7,8201
Bulukumba,39833,52.23,208030
Bantaeng,9727,54.47,52984
Jeneponto,34291,48.91,167717
Takalar,31917,42.93,137019
Gowa,55529,47.64,264534
Sinjai,21675,49.1,106425
Maros,39489,47.34,186929
Pangkajene Dan Kepulauan,27868,45.42,126590
Barru,23591,59.13,139485
Bone,183673,48.66,893811
Soppeng,49087,52.65,258421
Wajo,154127,50.85,783762
Sidenreng Rappang,94893,60.04,569733
Pinrang,96747,61.59,595823
Enrekang,7636,49.65,37908
Luwu,52709,55.15,290717
Tana Toraja,17209,45.81,78835
Luwu Utara,31172,54.5,169876
Luwu Timur,40984,62.79,257320
Toraja Utara,21235,46.16,98011
Kota Makassar,2102,50.19,10553
Kota Parepare,1008,49.89,5027
Kota Palopo,3323,56.83,18884
Sulawesi Selatan,1041701,52.48,5466592
,,,
Keterangan,,,
Kualitas produksi gabah kering giling (GKG)/The production form is dry unhusked paddy,,,
